Individual{TOC=7288.306301460846, NV=48}
Individual{TOC=9959.767293042562, NV=21}
Individual{TOC=7804.0424047967745, NV=33}
Individual{TOC=9728.320735265297, NV=22}
Individual{TOC=10310.583713021982, NV=18}
Individual{TOC=8986.601173266534, NV=23}
Individual{TOC=7296.454026585114, NV=47}
Individual{TOC=6606.301828041274, NV=57}
Individual{TOC=6362.634719033285, NV=63}
Individual{TOC=6263.662824715893, NV=69}
Individual{TOC=6041.516550971214, NV=76}
Individual{TOC=10126.625318127257, NV=20}
Individual{TOC=8471.553188144075, NV=26}
Individual{TOC=7311.984467478645, NV=34}
Individual{TOC=7055.197304943547, NV=50}
Individual{TOC=6893.715198848765, NV=54}
runTime = 7375.785736ms
