Individual{TOC=8038.8000087224445, NV=36}
Individual{TOC=6534.667578011405, NV=66}
Individual{TOC=9262.655141329247, NV=20}
Individual{TOC=9116.931967725819, NV=27}
Individual{TOC=8494.28718056475, NV=34}
Individual{TOC=6457.413135244721, NV=72}
Individual{TOC=9119.346168331513, NV=24}
Individual{TOC=8560.318071718899, NV=31}
Individual{TOC=7635.845200790462, NV=43}
Individual{TOC=7790.93258814264, NV=38}
Individual{TOC=6194.729350332733, NV=79}
Individual{TOC=10445.579396654326, NV=18}
Individual{TOC=9244.707494041946, NV=23}
Individual{TOC=8313.36667626136, NV=35}
Individual{TOC=7116.976952837369, NV=47}
Individual{TOC=7026.18739330743, NV=52}
Individual{TOC=6739.450399201943, NV=60}
Individual{TOC=6667.742580021651, NV=64}
Individual{TOC=6242.323925536735, NV=76}
Individual{TOC=6230.624852464486, NV=78}
runTime = 13797.865252ms
