Individual{TOC=17544.933293810296, NV=40}
Individual{TOC=20322.872559751184, NV=39}
Individual{TOC=16470.34870957777, NV=41}
Individual{TOC=15376.478911439735, NV=44}
Individual{TOC=13828.792249695109, NV=58}
Individual{TOC=13838.683880830216, NV=57}
Individual{TOC=14123.285625353103, NV=52}
Individual{TOC=14169.329394803819, NV=50}
Individual{TOC=14439.833480040774, NV=48}
Individual{TOC=14737.414601867464, NV=47}
Individual{TOC=14815.402506253688, NV=46}
Individual{TOC=15116.957132446501, NV=45}
Individual{TOC=15413.430260089463, NV=43}
Individual{TOC=15913.529019385229, NV=42}
runTime = 1994029.170801ms
