Individual{TOC=14971.480465370665, NV=36}
Individual{TOC=15141.66410407137, NV=35}
Individual{TOC=15420.616153239282, NV=34}
Individual{TOC=14192.871893995998, NV=44}
Individual{TOC=14664.248604598859, NV=42}
Individual{TOC=14781.830564635602, NV=41}
Individual{TOC=13936.475878541634, NV=59}
Individual{TOC=14834.253583473592, NV=39}
Individual{TOC=13428.010312359345, NV=83}
Individual{TOC=13439.151484229875, NV=69}
Individual{TOC=13608.826822426128, NV=68}
Individual{TOC=13834.746171327966, NV=62}
Individual{TOC=13996.064379842981, NV=51}
Individual{TOC=14077.811054815622, NV=48}
Individual{TOC=14143.21765086285, NV=47}
runTime = 1914954.192137ms
