Individual{TOC=13039.9207113667, NV=52}
Individual{TOC=13973.110583493493, NV=40}
Individual{TOC=13767.092540486476, NV=41}
Individual{TOC=12915.178042875912, NV=54}
Individual{TOC=13685.979108193884, NV=42}
Individual{TOC=12820.121660388628, NV=59}
Individual{TOC=14694.569471041792, NV=37}
Individual{TOC=13091.507393630762, NV=49}
Individual{TOC=13121.28382469544, NV=48}
Individual{TOC=14566.395552051947, NV=39}
Individual{TOC=13205.162471598758, NV=46}
Individual{TOC=14994.741656982305, NV=35}
Individual{TOC=13293.965934506914, NV=43}
runTime = 1139726.263666ms
