Individual{TOC=13643.032287464213, NV=41}
Individual{TOC=12972.286415377836, NV=47}
Individual{TOC=14079.597895215002, NV=36}
Individual{TOC=14845.073292093952, NV=32}
Individual{TOC=14216.219847096423, NV=34}
Individual{TOC=16102.019877177543, NV=31}
Individual{TOC=14409.262223247786, NV=33}
Individual{TOC=12966.831135240096, NV=48}
Individual{TOC=12900.39001718844, NV=50}
Individual{TOC=13216.811977278736, NV=44}
Individual{TOC=13309.891231158812, NV=43}
Individual{TOC=13753.777521586719, NV=39}
Individual{TOC=13988.528540918107, NV=38}
Individual{TOC=14194.990057878224, NV=35}
Individual{TOC=13437.983755897454, NV=42}
runTime = 2167868.018173ms
