Individual{TOC=19402.557814053893, NV=44}
Individual{TOC=18940.77681135726, NV=47}
Individual{TOC=19830.651127931764, NV=43}
Individual{TOC=20425.9107986916, NV=38}
Individual{TOC=16042.702062571974, NV=53}
Individual{TOC=16771.109670798814, NV=50}
Individual{TOC=15206.454282794333, NV=59}
Individual{TOC=16977.041691094826, NV=49}
Individual{TOC=20865.85827347316, NV=37}
Individual{TOC=21285.150124032578, NV=36}
Individual{TOC=20308.36486809673, NV=39}
Individual{TOC=20100.16141667879, NV=41}
Individual{TOC=15134.288783249322, NV=66}
Individual{TOC=15244.845003668854, NV=56}
Individual{TOC=15461.720071306983, NV=55}
Individual{TOC=16151.594084880784, NV=51}
Individual{TOC=17338.3234750922, NV=48}
Individual{TOC=20105.995977100563, NV=40}
runTime = 1492533.116928ms
