Individual{TOC=15593.557019923981, NV=35}
Individual{TOC=15763.00536768136, NV=34}
Individual{TOC=14400.7314120253, NV=41}
Individual{TOC=14083.483591340022, NV=44}
Individual{TOC=14220.310946568692, NV=42}
Individual{TOC=14842.31895554335, NV=37}
Individual{TOC=13671.791623889161, NV=54}
Individual{TOC=14480.026012252609, NV=40}
Individual{TOC=14194.278892082428, NV=43}
Individual{TOC=14602.215543572758, NV=39}
Individual{TOC=13424.734801536342, NV=61}
Individual{TOC=13446.554200499299, NV=60}
Individual{TOC=13464.38176200307, NV=58}
Individual{TOC=13989.93020599287, NV=49}
Individual{TOC=14002.7478461299, NV=47}
Individual{TOC=14041.180357826863, NV=46}
Individual{TOC=14922.237327144807, NV=36}
Individual{TOC=16425.020489251707, NV=33}
Individual{TOC=13933.63150040825, NV=50}
Individual{TOC=14726.796576655855, NV=38}
runTime = 1667894.276383ms
