Generation,NV,TOC
1,7,2927.233883
1,9,2781.817674
1,10,2154.869779
1,11,1937.841860
2,7,2927.233883
2,9,1829.488311
2,13,1762.145842
3,7,2927.233883
3,8,2174.129576
3,9,1829.488311
3,10,1786.914762
3,12,1692.900037
4,7,2927.233883
4,8,2174.129576
4,9,1829.488311
4,10,1786.914762
4,12,1692.900037
5,7,2927.233883
5,8,1923.093965
5,9,1815.717970
5,10,1786.914762
5,11,1767.617226
5,12,1692.900037
6,7,2927.233883
6,8,1923.093965
6,9,1734.422272
6,10,1667.654673
6,13,1663.748397
7,7,2439.047013
7,8,1923.093965
7,9,1734.422272
7,10,1667.654673
7,11,1637.018978
8,7,2439.047013
8,8,1899.918838
8,9,1734.422272
8,10,1667.654673
8,11,1637.018978
9,7,2439.047013
9,8,1776.216086
9,9,1734.422272
9,10,1653.335111
9,11,1637.018978
10,7,2236.832507
10,8,1776.216086
10,9,1734.422272
10,10,1651.973808
10,11,1637.018978
10,12,1569.718580
11,7,1967.463945
11,8,1708.405288
11,10,1651.973808
11,11,1596.673997
11,12,1569.718580
12,7,1916.910673
12,8,1708.405288
12,10,1598.971295
12,11,1596.673997
12,12,1569.718580
13,7,1782.588957
13,8,1708.405288
13,10,1598.971295
13,11,1596.673997
13,12,1569.718580
14,6,2563.398453
14,7,1782.588957
14,8,1708.405288
14,10,1598.971295
14,11,1592.495453
14,12,1569.718580
15,6,2563.398453
15,7,1782.588957
15,8,1690.837569
15,10,1598.971295
15,11,1564.724660
16,6,2563.398453
16,7,1782.588957
16,8,1650.802799
16,10,1587.196771
16,11,1563.811722
16,12,1552.806549
17,6,2563.398453
17,7,1630.902000
17,10,1586.111991
17,11,1550.955649
18,6,2563.398453
18,7,1630.902000
18,8,1578.178657
18,10,1573.054308
18,11,1550.955649
19,6,2563.398453
19,7,1630.902000
19,8,1578.178657
19,10,1573.054308
19,11,1516.309652
20,6,2563.398453
20,7,1622.508141
20,8,1578.178657
20,10,1573.054308
20,11,1516.309652
21,6,1996.282869
21,7,1622.508141
21,8,1578.178657
21,10,1546.369254
21,11,1516.309652
22,6,1996.282869
22,7,1622.508141
22,8,1578.178657
22,10,1546.369254
22,11,1516.309652
23,6,1996.282869
23,7,1622.508141
23,8,1578.178657
23,9,1558.703958
23,10,1546.369254
23,11,1516.309652
24,6,1996.282869
24,7,1622.508141
24,8,1555.441159
24,10,1543.488083
24,11,1516.309652
25,6,1996.282869
25,7,1622.508141
25,8,1555.441159
25,10,1527.550212
25,11,1513.825210
26,6,1809.720596
26,7,1622.403916
26,8,1555.441159
26,9,1484.200416
27,6,1809.720596
27,7,1622.403916
27,8,1515.284355
27,9,1484.200416
27,11,1481.352075
28,6,1767.459220
28,7,1591.023046
28,8,1515.284355
28,9,1484.200416
28,10,1445.875131
29,6,1767.459220
29,7,1591.023046
29,8,1515.284355
29,9,1403.121247
30,6,1767.459220
30,7,1591.023046
30,8,1440.764246
30,9,1403.121247
31,6,1767.459220
31,7,1591.023046
31,8,1440.764246
31,9,1403.121247
32,6,1767.459220
32,7,1591.023046
32,8,1411.941124
32,9,1403.121247
33,6,1740.045448
33,7,1543.138382
33,8,1411.941124
33,9,1400.883111
34,6,1740.045448
34,7,1543.138382
34,8,1411.941124
34,9,1400.883111
35,6,1680.427401
35,7,1543.138382
35,8,1411.941124
35,9,1400.883111
36,6,1665.436121
36,7,1543.138382
36,8,1411.941124
36,9,1400.883111
37,6,1665.436121
37,7,1531.532098
37,8,1411.941124
37,9,1400.883111
38,6,1437.995036
38,8,1407.772806
38,9,1400.883111
39,6,1437.995036
39,8,1407.772806
39,9,1400.883111
40,6,1437.995036
40,8,1407.772806
40,9,1400.883111
41,6,1437.995036
41,8,1384.317926
42,6,1437.995036
42,8,1384.317926
43,6,1437.995036
43,8,1384.317926
44,6,1437.995036
44,7,1434.600293
44,8,1384.317926
45,6,1437.995036
45,7,1405.087975
45,8,1384.317926
45,9,1378.704451
46,6,1437.995036
46,7,1403.015514
46,8,1384.317926
46,9,1378.704451
47,6,1437.995036
47,7,1403.015514
47,8,1384.317926
47,9,1378.704451
48,6,1437.995036
48,7,1400.576860
48,8,1384.317926
48,9,1378.704451
49,5,2044.469236
49,6,1432.041901
49,7,1400.576860
49,8,1384.317926
49,9,1378.704451
50,5,2044.469236
50,6,1432.041901
50,7,1388.101344
50,8,1374.933868
50,10,1356.993674
51,5,2044.469236
51,6,1432.041901
51,7,1388.101344
51,8,1370.979411
51,10,1356.993674
52,5,2044.469236
52,6,1432.041901
52,7,1388.101344
52,8,1370.979411
52,10,1356.993674
53,5,1907.504230
53,6,1432.041901
53,7,1367.169605
53,10,1356.993674
54,5,1907.504230
54,6,1432.041901
54,7,1364.103475
54,10,1356.993674
55,5,1907.504230
55,6,1432.041901
55,7,1364.103475
55,10,1356.993674
56,5,1907.504230
56,6,1432.041901
56,7,1364.103475
56,10,1356.993674
57,5,1858.906160
57,6,1432.041901
57,7,1364.103475
57,8,1349.782216
58,5,1858.906160
58,6,1432.041901
58,7,1364.103475
58,8,1349.782216
59,5,1858.906160
59,6,1432.041901
59,7,1364.103475
59,8,1349.782216
60,5,1858.906160
60,6,1432.041901
60,7,1364.103475
60,8,1349.782216
61,5,1788.440969
61,6,1432.041901
61,7,1364.103475
61,8,1349.782216
62,5,1788.440969
62,6,1432.041901
62,7,1364.103475
62,8,1349.782216
63,5,1788.440969
63,6,1432.041901
63,7,1364.103475
63,8,1349.782216
64,5,1788.440969
64,6,1432.041901
64,7,1364.103475
64,8,1349.782216
65,5,1773.335855
65,6,1432.041901
65,7,1364.103475
65,8,1349.782216
66,5,1773.335855
66,6,1420.330048
66,7,1364.103475
66,8,1346.643043
67,5,1773.335855
67,6,1420.330048
67,7,1364.103475
67,8,1346.643043
68,5,1773.335855
68,6,1415.521822
68,7,1364.103475
68,8,1346.643043
69,5,1773.335855
69,6,1415.521822
69,7,1364.103475
69,8,1346.643043
70,5,1735.221253
70,6,1415.521822
70,7,1364.103475
70,8,1346.643043
71,5,1735.221253
71,6,1415.521822
71,7,1364.103475
71,8,1346.643043
72,5,1722.216732
72,6,1415.521822
72,7,1364.103475
72,8,1346.643043
73,5,1722.216732
73,6,1415.521822
73,7,1364.103475
73,8,1346.643043
74,5,1722.216732
74,6,1415.521822
74,7,1364.103475
74,8,1346.643043
75,5,1722.216732
75,6,1415.521822
75,7,1364.103475
75,8,1346.643043
76,5,1722.216732
76,6,1415.521822
76,7,1364.103475
76,8,1346.643043
77,5,1722.216732
77,6,1412.014394
77,7,1364.103475
77,8,1346.643043
78,5,1722.216732
78,6,1412.014394
78,7,1364.103475
78,8,1346.643043
79,5,1722.216732
79,6,1412.014394
79,7,1364.103475
79,8,1346.643043
80,5,1722.216732
80,6,1412.014394
80,7,1364.103475
80,8,1346.643043
81,5,1696.805516
81,6,1412.014394
81,7,1364.103475
81,8,1346.643043
82,5,1695.319181
82,6,1412.014394
82,7,1364.103475
82,8,1346.643043
83,5,1670.422117
83,6,1412.014394
83,7,1364.103475
83,8,1346.643043
84,5,1670.422117
84,6,1412.014394
84,7,1364.103475
84,8,1346.643043
85,5,1645.388566
85,6,1412.014394
85,7,1364.103475
85,8,1346.643043
86,5,1645.388566
86,6,1412.014394
86,7,1364.103475
86,8,1346.643043
86,9,1343.013463
87,5,1645.388566
87,6,1412.014394
87,7,1364.103475
87,8,1342.983989
88,5,1645.388566
88,6,1412.014394
88,7,1364.103475
88,8,1342.983989
89,5,1638.356141
89,6,1412.014394
89,7,1364.103475
89,8,1342.983989
90,5,1638.356141
90,6,1412.014394
90,7,1364.103475
90,8,1342.983989
91,5,1638.356141
91,6,1412.014394
91,7,1364.103475
91,8,1342.983989
92,5,1638.356141
92,6,1412.014394
92,7,1364.103475
92,8,1342.983989
93,5,1638.356141
93,6,1412.014394
93,7,1364.103475
93,8,1342.983989
94,5,1638.356141
94,6,1412.014394
94,7,1364.103475
94,8,1342.983989
95,5,1638.356141
95,6,1412.014394
95,7,1364.103475
95,8,1342.983989
96,5,1638.356141
96,6,1412.014394
96,7,1364.103475
96,8,1342.983989
97,5,1638.356141
97,6,1412.014394
97,7,1364.103475
97,8,1342.983989
98,5,1638.356141
98,6,1412.014394
98,7,1364.103475
98,8,1342.983989
99,5,1638.356141
99,6,1412.014394
99,7,1364.103475
99,8,1342.983989
100,5,1638.356141
100,6,1412.014394
100,7,1364.103475
100,8,1342.983989
101,5,1638.356141
101,6,1412.014394
101,7,1364.103475
101,8,1342.983989
102,5,1638.356141
102,6,1412.014394
102,7,1364.103475
102,8,1340.824591
103,5,1596.335735
103,6,1412.014394
103,7,1364.103475
103,8,1340.824591
104,5,1596.335735
104,6,1411.414377
104,7,1364.103475
104,8,1340.824591
105,5,1596.335735
105,6,1411.414377
105,7,1364.103475
105,8,1340.824591
106,5,1596.335735
106,6,1411.414377
106,7,1364.103475
106,8,1340.824591
107,5,1596.335735
107,6,1405.205378
107,7,1364.103475
107,8,1340.824591
108,5,1596.335735
108,6,1405.205378
108,7,1364.103475
108,8,1340.824591
109,5,1596.335735
109,6,1401.604893
109,7,1364.103475
109,8,1340.824591
110,5,1596.335735
110,6,1401.604893
110,7,1364.103475
110,8,1340.824591
111,5,1596.335735
