Generation,NV,TOC
1,19,5669.304567
1,20,5513.311226
1,21,5382.198294
1,22,4940.761334
1,24,4636.525392
1,27,4464.122898
1,29,4141.342770
1,36,3983.958123
1,37,3946.924804
2,17,6392.263272
2,19,5669.304567
2,20,5112.081642
2,22,4940.761334
2,23,4829.058677
2,24,4367.848103
2,25,4345.881486
2,29,4141.342770
2,30,4135.816809
2,32,4092.496521
2,33,3959.484683
2,34,3768.460314
2,35,3747.243728
3,17,6392.263272
3,19,5641.891252
3,20,5112.081642
3,21,5049.572718
3,22,4731.906418
3,24,4367.848103
3,25,4345.881486
3,26,4279.766204
3,29,4141.342770
3,30,3912.106891
3,31,3842.268205
3,34,3768.460314
3,35,3692.865207
3,38,3610.002043
4,17,6392.263272
4,18,5914.949395
4,19,5067.918709
4,21,4516.036032
4,24,4367.848103
4,25,4345.881486
4,26,4279.766204
4,27,4142.673206
4,29,4141.342770
4,30,3912.106891
4,31,3842.268205
4,32,3805.242736
4,33,3691.099966
4,36,3605.965883
5,17,6392.263272
5,18,5142.638367
5,19,5067.918709
5,20,5057.666062
5,21,4516.036032
5,24,4068.255015
5,28,3813.775573
5,32,3805.242736
5,33,3691.099966
5,34,3675.613156
5,35,3675.123906
5,36,3605.965883
5,37,3573.699289
6,17,5862.916352
6,18,4649.798350
6,20,4379.221421
6,23,3967.957990
6,27,3910.039753
6,28,3813.775573
6,30,3792.446393
6,33,3691.099966
6,34,3675.613156
6,35,3675.123906
6,36,3605.965883
6,37,3548.871579
7,17,5178.881384
7,18,4251.222795
7,19,4130.145248
7,21,3985.159700
7,23,3967.957990
7,25,3845.455693
7,28,3813.775573
7,30,3792.446393
7,31,3653.734573
7,35,3501.404035
8,17,4774.116414
8,18,4251.222795
8,19,4130.145248
8,21,3985.159700
8,22,3979.132011
8,23,3967.957990
8,25,3637.594169
8,29,3618.828934
8,30,3479.140025
9,17,4450.938459
9,18,4251.222795
9,19,4130.145248
9,21,3985.159700
9,22,3946.349336
9,24,3736.052007
9,25,3559.216236
9,28,3525.995706
9,29,3510.389315
9,30,3479.140025
9,31,3455.140440
9,33,3440.656339
10,16,5728.691603
10,17,4140.269930
10,19,4062.063826
10,21,3985.159700
10,22,3676.964806
10,25,3559.216236
10,27,3464.166152
10,31,3455.140440
10,33,3440.656339
11,15,4732.422409
