Generation,NV,TOC
1,10,2904.644810
1,11,2154.209702
1,15,1819.452731
2,10,2296.163557
2,11,2154.209702
2,12,1982.832468
2,13,1898.999247
2,14,1828.215445
2,15,1652.951055
3,9,2494.443560
3,10,1880.472871
3,12,1644.677940
3,13,1540.119533
4,9,2186.362156
4,10,1880.472871
4,11,1643.890176
4,12,1562.750560
4,13,1540.119533
5,8,2323.786492
5,9,1856.300299
5,10,1772.127955
5,11,1565.726497
5,12,1562.750560
5,13,1540.119533
6,8,2323.786492
6,9,1856.300299
6,10,1701.758692
6,11,1565.726497
6,12,1562.750560
6,13,1540.119533
7,8,2282.778101
7,9,1679.553924
7,11,1491.810239
8,8,2282.778101
8,9,1679.553924
8,10,1674.103711
8,11,1491.810239
9,8,2082.162149
9,9,1583.298477
9,11,1491.810239
10,8,1801.577220
10,9,1574.217017
10,11,1491.810239
11,8,1801.577220
11,9,1574.217017
11,11,1491.810239
12,7,2247.302964
12,8,1597.213382
12,9,1574.217017
12,11,1491.810239
12,13,1491.532053
13,7,2247.302964
13,8,1597.213382
13,9,1574.217017
13,11,1491.810239
13,13,1491.532053
14,7,2247.302964
14,8,1597.213382
14,9,1574.217017
14,10,1528.697641
14,11,1491.810239
14,13,1491.532053
15,7,2247.302964
15,8,1597.213382
15,9,1574.217017
15,10,1528.697641
15,11,1491.810239
15,13,1491.532053
16,7,1790.718457
16,8,1597.213382
16,9,1574.217017
16,10,1528.697641
16,11,1491.810239
16,13,1491.532053
17,7,1790.718457
17,8,1597.213382
17,9,1574.217017
17,10,1528.697641
17,11,1491.810239
17,12,1473.212688
18,7,1790.718457
18,8,1597.213382
18,9,1574.217017
18,10,1528.697641
18,11,1491.810239
18,12,1473.212688
19,7,1778.389181
19,8,1597.213382
19,9,1574.217017
19,10,1528.697641
19,11,1491.810239
19,12,1473.212688
20,6,2246.666694
20,7,1732.512537
20,8,1597.213382
20,9,1574.217017
20,10,1517.020576
20,11,1491.810239
20,12,1473.212688
21,6,2246.666694
21,7,1732.512537
21,8,1597.213382
21,9,1532.975293
21,10,1517.020576
21,11,1491.810239
21,12,1473.212688
22,6,2012.180027
22,7,1732.512537
22,8,1597.213382
22,9,1513.550083
22,10,1461.972062
23,5,2061.115921
23,6,2012.180027
23,7,1732.512537
23,8,1597.213382
23,9,1513.550083
23,10,1461.972062
23,12,1418.015287
24,5,2061.115921
24,6,2012.180027
24,7,1732.512537
