Generation,NV,TOC
1,47,14935.049309
1,49,14384.994834
1,58,13770.463270
1,71,13438.255320
2,47,14575.373809
2,49,14384.994834
2,57,13729.685752
2,61,13637.620352
2,70,13512.783718
2,71,13438.255320
3,46,15009.474669
3,47,13500.412724
3,48,13130.656507
4,46,15009.474669
4,47,13500.412724
4,48,13130.656507
4,53,13058.283641
5,45,14007.933548
5,47,13500.412724
5,48,13130.656507
5,50,13112.901297
5,53,13058.283641
5,54,13018.371998
5,60,12934.399595
5,66,12809.913672
6,45,14007.933548
6,47,13500.412724
6,48,13130.656507
6,50,12994.586428
6,53,12888.219489
6,66,12809.913672
7,44,15595.607305
7,45,14007.933548
7,46,13893.658331
7,47,13500.412724
7,48,13130.656507
7,49,13062.374110
7,50,12994.586428
7,53,12888.219489
7,61,12798.855460
8,42,15192.431066
8,45,14007.933548
8,46,13893.658331
8,47,13500.412724
8,48,13130.656507
8,49,13062.374110
8,50,12994.586428
8,53,12888.219489
8,61,12798.855460
8,65,12717.812804
9,42,15192.431066
9,44,14153.103161
9,45,14007.933548
9,46,13893.658331
9,47,13500.412724
9,48,13130.656507
9,49,13062.374110
9,50,12994.586428
9,53,12888.219489
9,60,12827.018344
9,61,12798.855460
9,65,12717.812804
10,42,15046.906082
10,44,14153.103161
10,45,14007.933548
10,46,13893.658331
10,47,13500.412724
10,48,13130.656507
10,49,13062.374110
10,50,12994.586428
10,53,12888.219489
10,60,12827.018344
10,61,12798.855460
10,62,12774.928698
10,65,12717.812804
11,42,15025.669888
11,43,14782.186672
11,44,14153.103161
11,45,14007.933548
11,46,13409.917622
11,48,13006.478587
11,50,12858.768010
11,51,12829.690632
11,53,12772.345020
11,55,12760.228615
11,61,12696.428522
11,63,12662.293027
12,42,15025.669888
12,43,14377.529531
12,44,14153.103161
12,45,14007.933548
12,46,13409.917622
12,48,13006.478587
12,50,12858.768010
12,51,12829.690632
12,52,12765.669576
12,55,12760.228615
12,61,12696.428522
12,63,12662.293027
13,42,15025.669888
13,43,14101.974990
13,44,13941.863451
13,46,13409.917622
13,48,13006.478587
13,50,12858.768010
13,51,12829.690632
13,52,12765.669576
13,55,12760.228615
13,61,12696.428522
13,62,12677.074761
13,63,12662.293027
14,42,15025.669888
14,43,14101.974990
14,44,13941.863451
14,46,13409.917622
14,48,12905.354829
14,49,12869.315242
14,50,12858.768010
14,51,12829.690632
14,52,12765.669576
14,55,12760.228615
14,58,12760.151464
14,60,12715.880521
14,61,12696.428522
14,62,12677.074761
14,63,12662.293027
15,42,15025.669888
15,43,13869.217705
15,44,13723.552089
15,46,13409.917622
15,48,12713.838873
15,54,12615.455998
15,61,12509.765362
16,42,14665.571781
16,43,13869.217705
16,44,13500.045343
16,46,13409.917622
16,47,13165.771603
16,48,12713.838873
16,52,12609.043938
16,53,12567.425930
16,61,12509.765362
17,42,14665.571781
17,43,13864.373995
17,44,13500.045343
17,46,13409.917622
17,47,13165.771603
17,48,12713.838873
17,51,12576.092901
17,53,12512.288716
17,55,12481.321831
18,42,14225.390195
18,43,13631.669171
18,44,13500.045343
18,45,13319.700438
18,47,13165.771603
18,48,12713.838873
18,51,12576.092901
18,52,12501.365176
18,55,12481.321831
19,42,14062.580067
19,43,13505.462161
19,44,13500.045343
19,45,13274.181147
19,47,13028.479691
19,48,12639.801904
19,51,12446.835750
19,55,12395.626831
20,42,14062.580067
20,43,13505.462161
20,44,13487.341064
20,45,13274.181147
20,47,13028.479691
20,48,12624.544573
20,51,12446.835750
20,55,12395.626831
20,59,12367.664477
21,42,14062.580067
21,43,13505.462161
21,44,13487.341064
21,45,13168.303077
21,47,13028.479691
21,48,12624.544573
21,51,12446.835750
21,55,12395.626831
21,59,12367.664477
21,60,12349.473475
22,42,13760.549902
22,43,13505.462161
22,44,13487.341064
22,45,13168.303077
22,47,13028.479691
22,48,12624.544573
22,51,12446.835750
22,55,12366.710170
22,60,12349.473475
23,40,14388.108059
23,42,13462.655076
23,45,13110.467924
23,47,12851.022710
23,48,12484.815027
23,49,12311.126152
23,55,12292.673201
24,40,14388.108059
24,42,13325.011942
24,45,12902.803551
24,47,12851.022710
24,48,12484.815027
24,49,12311.126152
24,54,12285.516527
24,55,12272.048373
24,56,12234.592564
25,40,14388.108059
25,42,13325.011942
25,44,13298.400837
25,45,12902.803551
25,47,12851.022710
25,48,12484.815027
25,49,12311.126152
25,54,12285.516527
25,55,12272.048373
25,56,12186.109063
26,40,14388.108059
26,42,13325.011942
26,44,13145.904588
26,45,12902.803551
26,47,12851.022710
26,48,12484.815027
26,49,12311.126152
26,54,12270.891634
26,56,12186.109063
27,40,14276.383484
27,42,13320.330131
27,43,13019.833008
27,45,12870.217167
27,47,12832.918383
27,48,12428.455465
27,49,12262.878855
27,55,12163.688798
28,40,14276.383484
28,41,13601.509398
28,42,13320.330131
28,43,13019.833008
