Generation,NV,TOC
1,53,19108.283338
1,55,18734.826797
1,56,18542.241230
1,58,17862.346492
1,62,17020.588590
1,66,16640.183779
1,82,16577.323032
1,85,16165.239945
1,89,16006.805373
2,53,18765.877254
2,55,18734.826797
2,56,18542.241230
2,57,17584.900921
2,62,17020.588590
2,64,16878.991300
2,66,16640.183779
2,69,16315.364747
2,73,16007.682126
2,75,15927.245454
2,94,15814.164589
2,98,15774.920378
3,53,18765.877254
3,55,18537.117501
3,57,17584.900921
3,62,17020.588590
3,64,16878.991300
3,65,16659.506617
3,66,16431.652058
3,69,16315.364747
3,73,16007.682126
3,75,15808.076251
3,98,15774.920378
3,99,15743.848970
4,53,18765.877254
4,54,18750.059720
4,55,18350.250888
4,57,17584.900921
4,62,17020.588590
4,64,16728.213800
4,65,16659.506617
4,66,16325.402025
4,69,16315.364747
4,73,16007.682126
4,75,15808.076251
4,92,15593.690825
5,51,19081.136210
5,53,18765.877254
5,54,18750.059720
5,55,18350.250888
5,57,17584.900921
5,61,17330.023807
5,62,16871.180311
5,64,16728.213800
5,65,16447.621385
5,66,16325.402025
5,67,16294.923690
5,70,15956.705113
5,71,15926.260066
5,75,15808.076251
5,82,15793.937841
5,86,15619.575400
5,92,15593.690825
6,51,19081.136210
6,52,18764.216568
6,53,18529.124252
6,54,18450.077940
6,55,18350.250888
6,57,17584.900921
6,58,17520.609595
6,59,17490.982171
6,60,17463.797710
6,61,17170.073472
6,62,16871.180311
6,64,16728.213800
6,65,16447.621385
6,66,16325.402025
6,67,16294.923690
6,69,15899.688156
6,75,15795.979393
6,78,15794.810563
6,82,15793.937841
6,84,15784.162598
6,86,15619.575400
6,92,15593.690825
7,51,19081.136210
7,52,18398.881551
7,54,18260.630840
7,56,18239.744671
7,57,17584.900921
7,58,17520.609595
7,59,17490.982171
7,60,17463.797710
7,61,17126.129362
7,62,16871.180311
7,63,16650.818583
7,65,16116.648751
7,67,15888.133795
7,73,15736.394859
7,77,15501.325283
7,84,15428.777251
7,95,15355.037127
8,50,19493.278590
8,51,19013.382661
8,52,18298.483573
8,53,17267.734571
8,54,17109.645506
8,62,16871.180311
8,63,16650.818583
8,65,16114.326940
8,67,15888.133795
8,73,15736.394859
8,77,15501.325283
8,80,15277.246833
9,50,19065.372035
9,51,18972.022330
9,52,18283.345676
9,53,17267.734571
9,54,17109.645506
9,57,16912.209534
9,62,16871.180311
9,63,16642.914597
9,64,16330.088085
9,65,16114.326940
9,66,15942.194165
9,67,15888.133795
9,73,15736.394859
9,77,15501.325283
9,80,15277.246833
10,50,18403.705057
10,51,17387.446703
10,53,17267.734571
10,54,17109.645506
10,57,16912.209534
10,58,16863.875488
10,60,16429.201496
10,64,15964.535257
10,66,15942.194165
10,67,15888.133795
10,73,15736.394859
10,74,15668.271186
10,77,15501.325283
10,80,15277.246833
11,48,19864.196250
11,49,19156.923149
11,50,18403.705057
11,51,16878.481257
11,52,16623.324279
11,55,16501.710788
11,56,16389.959463
11,59,15871.984237
11,60,15728.069372
11,63,15579.211679
11,67,15406.996889
11,71,15170.585613
12,48,19174.277079
12,49,18802.765900
12,50,18250.253714
12,51,16878.481257
12,52,16623.324279
12,55,16501.710788
12,56,16389.959463
12,58,15963.231726
12,59,15785.166628
12,60,15728.069372
12,63,15579.211679
12,66,15489.806396
12,67,15406.996889
12,71,15170.585613
12,76,15015.288537
12,82,14967.834425
13,48,19174.277079
13,49,18705.547042
13,50,17428.685160
13,51,16877.796703
13,52,16623.324279
13,53,16573.570654
13,54,16546.298175
13,55,16501.710788
13,56,16141.460315
13,58,15963.231726
13,59,15785.166628
13,60,15728.069372
13,63,15579.211679
13,65,15408.096042
13,67,15406.996889
13,69,15379.831316
13,71,15170.585613
13,75,15043.078536
13,76,15015.288537
13,79,14960.617385
13,80,14933.440449
13,82,14916.246264
13,83,14815.190032
14,48,19174.277079
14,49,18069.347490
14,50,17428.685160
14,51,16877.796703
14,52,16410.248944
14,56,16141.460315
14,58,15963.231726
14,59,15785.166628
14,60,15728.069372
14,63,15579.211679
14,64,15327.888595
14,67,15258.590787
14,69,15085.215584
14,75,15043.078536
14,76,15015.288537
14,79,14960.617385
14,80,14933.440449
14,82,14916.246264
14,83,14815.190032
15,48,18227.458139
15,49,18069.347490
15,50,17428.685160
15,51,16877.796703
15,52,16410.248944
15,55,16257.606134
15,56,15341.500325
15,64,15327.888595
15,67,15258.590787
15,69,15085.215584
15,75,15043.078536
15,76,15015.288537
15,79,14960.617385
15,80,14933.440449
15,82,14916.246264
15,83,14815.190032
16,48,18227.458139
16,49,18069.347490
16,50,16982.949148
16,51,16877.796703
16,52,16410.248944
16,55,16257.606134
16,56,15341.500325
16,64,15327.888595
16,66,15232.000105
16,69,15085.215584
16,75,15043.078536
16,76,15015.288537
16,79,14960.617385
16,80,14933.440449
16,81,14713.591930
17,48,18227.458139
17,49,18069.347490
17,50,16982.949148
17,51,16778.531331
17,52,16410.248944
17,54,16306.700062
17,55,16257.606134
17,56,15341.500325
17,64,15327.888595
17,66,15232.000105
17,68,15034.708690
17,69,14905.270624
17,79,14893.874021
17,80,14651.124952
17,81,14614.772930
18,47,19504.397786
18,48,18227.458139
18,49,18069.347490
18,50,16940.669540
18,51,16497.260076
18,52,16410.248944
18,54,16306.700062
18,55,15944.907479
18,56,15341.500325
18,64,15327.888595
18,65,15320.832321
18,66,15037.352693
18,68,15034.708690
18,69,14905.270624
18,77,14857.559517
18,80,14637.440523
18,81,14614.772930
19,47,19398.210978
19,48,16424.913634
19,52,16410.248944
19,54,16057.481527
19,55,15944.907479
19,56,15341.500325
19,64,15311.315683
19,65,15190.280264
19,66,14993.623428
19,69,14905.270624
19,72,14889.590296
19,75,14782.887682
19,80,14637.440523
19,81,14614.772930
20,47,16699.014098
20,48,16424.913634
20,50,16313.834973
20,53,16204.777364
20,54,16057.481527
20,55,15944.907479
20,56,15341.500325
20,60,15191.391633
20,63,14826.282579
20,71,14652.961402
20,76,14531.993619
21,47,16699.014098
21,48,16424.913634
21,49,15956.137712
21,55,15920.197833
21,56,15341.500325
21,60,15191.391633
21,63,14826.282579
21,71,14652.961402
21,75,14638.238321
21,76,14531.993619
22,46,18971.885885
22,47,16699.014098
22,48,16424.913634
22,49,15956.137712
22,50,15650.076469
22,56,15341.500325
22,59,15187.109024
22,61,15169.239899
22,63,14826.282579
22,71,14652.961402
22,75,14638.238321
22,76,14531.993619
22,81,14445.248009
23,46,18971.885885
23,47,16699.014098
23,48,16424.913634
23,49,15956.137712
23,50,15650.076469
23,51,15534.237261
23,56,15341.500325
23,58,15205.334290
23,59,15172.968598
23,61,15169.239899
23,63,14826.282579
23,71,14652.961402
23,75,14638.238321
23,76,14531.993619
23,78,14521.016990
23,81,14445.248009
24,46,18971.885885
24,47,16595.697669
24,48,16042.878536
24,49,15956.137712
24,50,15650.076469
24,51,15534.237261
24,56,15341.500325
24,58,15205.334290
24,59,14918.870756
24,63,14826.282579
24,71,14652.961402
24,75,14432.229421
25,46,18971.885885
25,47,15837.534929
25,49,15459.174866
25,50,15356.373068
25,54,15281.323265
25,58,15205.334290
25,59,14918.870756
25,62,14762.907402
25,65,14545.666252
25,75,14432.229421
26,46,18971.885885
26,47,15837.534929
26,49,15459.174866
26,50,15356.373068
26,51,15273.497807
26,52,15071.346153
26,54,15003.674001
26,55,14873.875593
26,61,14605.013820
26,64,14527.021883
26,67,14521.866556
26,74,14468.222527
26,75,14360.612594
27,46,18525.600407
27,47,15837.534929
27,49,15459.174866
27,50,15356.373068
27,51,15273.497807
27,52,15071.346153
27,54,15003.674001
27,55,14873.875593
27,60,14864.766466
27,61,14605.013820
27,64,14527.021883
27,67,14521.866556
27,74,14445.002897
27,75,14360.612594
28,46,18525.600407
28,47,15837.534929
28,49,15459.174866
28,50,15356.373068
28,51,15273.497807
28,52,15071.346153
28,54,15003.674001
28,55,14873.875593
28,60,14864.038078
28,61,14605.013820
28,63,14595.258084
28,64,14527.021883
28,67,14521.866556
28,74,14445.002897
28,75,14360.612594
29,46,18525.600407
29,47,15837.534929
29,48,15578.241934
29,49,15459.174866
29,50,15356.373068
29,51,15273.497807
29,52,15071.346153
29,54,15003.674001
29,55,14873.875593
29,60,14864.038078
29,61,14605.013820
29,63,14595.258084
29,64,14527.021883
29,67,14521.866556
29,73,14473.864216
29,74,14445.002897
29,75,14360.612594
30,46,18525.600407
30,47,15837.534929
30,48,15439.635732
30,50,15059.742549
30,54,15003.674001
30,55,14854.184860
30,58,14725.720375
30,61,14501.366901
30,63,14399.171531
30,74,14338.298153
31,46,16859.482059
31,47,15837.534929
31,48,15439.635732
31,50,15059.742549
31,54,15003.674001
31,55,14854.184860
31,57,14786.182468
31,58,14725.720375
31,61,14501.366901
31,63,14399.171531
31,71,14378.171534
31,74,14338.298153
32,46,16859.482059
32,47,15837.534929
32,48,15439.635732
32,49,15254.918195
32,50,15059.742549
32,54,15003.674001
32,55,14544.709545
32,61,14501.366901
32,63,14399.171531
32,71,14378.171534
32,72,14362.146758
32,74,14338.298153
33,46,16141.378486
33,47,15690.785879
33,48,15283.130873
33,49,15206.756007
33,50,15059.742549
33,54,14941.162797
33,55,14544.709545
33,61,14501.366901
33,62,14357.138130
33,74,14338.298153
34,45,18217.417985
34,46,15963.897307
34,47,15669.278484
34,48,15082.022724
34,50,14965.051267
34,53,14535.336836
34,55,14500.036775
34,60,14111.567974
35,45,18217.417985
35,46,15963.897307
35,47,15669.278484
35,48,15082.022724
35,50,14965.051267
35,53,14535.336836
35,55,14500.036775
35,60,14111.567974
36,45,16787.776871
36,46,15963.897307
36,47,15669.278484
36,48,15082.022724
36,50,14965.051267
36,53,14535.336836
36,55,14500.036775
36,59,14409.278971
36,60,14111.567974
36,63,14050.052304
37,45,16787.776871
37,46,15963.897307
37,47,15669.278484
37,48,15082.022724
37,50,14965.051267
37,53,14535.336836
37,55,14500.036775
37,59,14409.278971
37,60,14111.567974
37,61,14072.834530
37,63,14050.052304
37,64,13881.630458
38,45,16612.407850
38,46,15655.759968
38,47,15478.647694
38,48,14873.140457
38,52,14465.608273
38,59,14043.684601
38,62,13924.562717
38,64,13835.391955
39,45,16612.407850
39,46,15655.759968
39,47,15127.815308
39,48,14873.140457
39,52,14465.608273
39,57,14456.955176
39,59,14043.684601
39,62,13921.172049
39,64,13835.391955
40,45,16612.407850
40,46,15655.759968
40,47,15127.815308
40,48,14873.140457
40,52,14465.608273
40,57,14456.955176
40,59,14018.530694
40,62,13921.172049
40,64,13835.391955
41,45,16046.570284
41,46,15655.759968
41,47,15127.815308
41,48,14873.140457
41,50,14698.317479
41,52,14465.608273
41,57,14456.955176
41,59,14018.530694
41,61,13983.848844
41,62,13921.172049
41,64,13835.391955
42,43,16913.324579
42,44,16420.258739
42,45,15815.886791
42,46,15655.759968
42,47,14989.344838
42,48,14764.870752
42,50,14653.940287
42,52,14465.608273
42,57,14431.021112
42,58,14011.537368
42,59,13985.910470
42,61,13826.571864
42,64,13786.487682
43,43,16913.324579
43,44,16420.258739
43,45,15776.599083
43,46,15655.759968
43,47,14989.344838
43,48,14682.094199
43,50,14653.940287
43,52,14465.608273
43,57,14334.809069
43,58,14011.537368
43,59,13985.910470
43,61,13826.571864
43,64,13786.487682
44,43,16913.324579
44,44,16096.766451
44,45,15776.599083
44,46,15655.759968
44,47,14989.344838
44,48,14682.094199
44,50,14539.641046
44,51,14478.573002
44,52,14465.608273
44,57,14334.809069
44,58,14011.537368
44,59,13985.910470
44,61,13826.571864
44,64,13786.487682
45,43,16913.324579
45,44,16040.344832
45,45,15442.096149
45,47,14989.344838
45,48,14682.094199
45,50,14539.641046
45,51,14478.573002
45,52,14465.608273
45,54,14401.546295
45,55,14200.628106
45,58,14011.537368
45,59,13985.910470
45,61,13826.571864
45,64,13786.487682
46,43,16913.324579
46,44,16040.344832
46,45,15442.096149
46,47,14989.344838
46,48,14681.702738
46,50,14470.315840
46,51,14384.894004
46,55,14159.667552
46,58,13980.433548
46,61,13767.641782
46,64,13762.666700
47,43,16369.302047
47,44,16040.344832
47,45,15442.096149
47,47,14989.344838
47,48,14681.702738
47,50,14470.315840
47,51,14137.747686
47,57,14112.670957
47,58,13980.433548
47,61,13767.641782
47,64,13762.666700
48,43,16369.302047
48,44,16040.344832
48,45,15442.096149
48,47,14989.344838
48,48,14681.702738
48,50,14412.774356
48,51,14137.747686
48,52,13920.457735
48,61,13767.641782
48,64,13762.666700
49,43,16294.993246
49,44,16040.344832
49,45,15442.096149
49,47,14989.344838
49,48,14681.702738
49,50,14412.774356
49,51,14137.747686
49,52,13920.457735
49,61,13767.641782
49,64,13762.666700
50,43,16294.993246
50,44,16012.051951
50,45,15326.465401
50,47,14909.197616
50,48,14531.857971
50,50,14380.353864
50,51,14114.020654
50,52,13900.963630
50,54,13887.501090
50,60,13730.393832
50,62,13681.313876
51,43,16294.993246
51,44,16012.051951
51,45,15326.465401
51,47,14909.197616
51,48,14531.857971
51,50,14380.353864
51,51,14114.020654
51,52,13900.963630
51,53,13809.392148
51,60,13730.393832
51,62,13635.948722
52,43,16132.594831
52,44,15687.794314
52,45,15326.465401
52,47,14909.197616
52,48,14531.857971
52,50,14380.353864
52,51,14114.020654
52,52,13900.963630
52,53,13809.392148
52,60,13730.393832
52,61,13725.701589
52,62,13635.948722
53,43,16008.591949
53,44,15687.794314
53,45,15326.465401
53,47,14909.197616
53,48,14491.357427
53,50,14380.353864
53,51,13941.074994
53,52,13900.963630
53,53,13809.392148
53,59,13676.456451
53,62,13635.948722
53,63,13606.435548
54,43,16008.591949
54,44,15603.542274
54,45,15271.598965
54,47,14885.702910
54,48,14491.357427
54,50,14322.133693
54,51,13826.071060
54,53,13770.221328
54,59,13619.442140
54,62,13522.860249
55,42,16455.032132
55,43,15974.974747
55,44,15603.542274
55,45,15271.598965
55,46,15042.707231
55,47,14885.702910
55,48,14491.357427
55,50,14322.133693
55,51,13826.071060
55,53,13770.221328
55,59,13619.442140
55,61,13555.555051
55,62,13522.860249
56,42,16394.436014
56,43,15974.974747
56,44,15603.542274
56,45,15271.598965
56,46,15042.707231
56,47,14885.702910
56,48,14491.357427
56,50,13969.354227
56,51,13826.071060
56,53,13770.221328
56,55,13657.528641
56,58,13566.067614
56,61,13555.555051
56,62,13522.860249
57,42,16368.537527
57,43,15535.037168
57,45,15271.598965
57,46,15042.707231
57,47,14885.702910
57,48,14491.357427
57,50,13969.354227
57,51,13826.071060
57,53,13770.221328
57,55,13657.528641
57,57,13623.923924
57,58,13566.067614
57,61,13555.555051
57,62,13522.860249
58,42,16368.537527
58,43,15535.037168
58,44,15274.881170
58,45,15271.598965
58,46,14974.576822
58,47,14876.956884
58,48,14435.006000
58,50,13945.938188
58,51,13779.769911
58,53,13713.716098
58,55,13613.769705
58,56,13570.740552
58,58,13525.053294
58,60,13521.545024
59,42,16368.537527
59,43,15533.582631
59,44,15274.881170
59,45,14739.018479
59,48,14392.269867
59,50,13945.938188
59,51,13779.769911
59,53,13688.905461
59,55,13613.769705
59,56,13570.740552
59,58,13525.053294
59,60,13521.545024
60,42,15622.878171
60,43,15533.582631
