Generation,NV,TOC
1,64,25248.020239
1,65,25042.881644
1,66,24820.524212
1,75,24352.084582
1,78,22182.687088
1,81,21516.282980
1,95,20776.921900
1,104,19798.255708
1,107,19615.468885
1,117,19611.255978
1,126,19380.264852
2,64,25248.020239
2,65,25042.881644
2,66,24820.524212
2,69,23905.732012
2,78,22182.687088
2,80,21803.034832
2,81,21516.282980
2,85,21294.029865
2,95,19503.488100
2,105,19232.872156
2,112,18350.490041
3,62,22416.916497
3,72,21160.893809
3,89,21081.547676
3,90,20903.874601
3,92,20900.533161
3,94,19515.050140
3,95,19503.488100
3,98,19373.897275
3,102,19199.815566
3,112,18350.490041
4,59,22649.571217
4,62,22178.808279
4,64,20775.957437
4,71,20672.591471
4,74,19417.429684
4,81,19206.175495
4,99,18728.912997
4,101,17635.855085
5,59,22649.571217
5,60,22621.464080
5,61,22050.801894
5,64,20775.957437
5,71,20672.591471
5,74,19417.429684
5,75,19178.108066
5,84,19137.329335
5,87,19084.393997
5,88,18995.496044
5,90,18984.660403
5,96,18603.702975
5,99,18123.335496
5,101,17635.855085
6,59,22649.571217
6,60,22621.464080
6,61,22050.801894
6,64,20775.957437
6,71,20672.591471
6,74,19417.429684
6,75,19178.108066
6,79,19112.680505
6,81,18702.370235
6,96,18603.702975
6,99,18123.335496
6,101,17635.855085
7,59,22649.571217
7,60,22621.464080
7,61,21446.861448
7,63,20943.048441
7,64,20775.957437
7,71,20672.591471
7,74,19417.429684
7,75,18632.958218
7,78,18578.850564
7,79,17910.603918
7,86,17670.340080
7,101,17343.996951
8,58,22791.001112
8,59,22649.571217
8,60,21486.764850
8,61,21446.861448
8,63,20943.048441
8,64,20775.957437
8,67,20356.878177
8,74,19417.429684
8,75,18632.958218
8,78,18578.850564
8,79,17910.603918
8,80,17551.550078
8,101,17343.996951
8,105,17254.652628
9,57,22165.308375
9,59,21437.689772
9,60,21335.245820
9,63,20943.048441
9,64,20775.957437
9,65,20738.193993
9,66,20599.932995
9,67,20356.878177
9,72,19751.195498
9,74,19417.429684
9,75,18632.958218
9,78,18578.850564
9,79,17910.603918
9,80,17551.550078
9,81,17485.136471
9,92,17285.245215
9,98,17247.861105
9,105,17066.842085
9,109,17053.855261
10,57,22165.308375
10,59,21153.559931
10,63,20943.048441
10,64,20775.957437
10,65,19777.922707
10,72,19751.195498
10,74,19417.429684
10,75,18632.958218
10,78,18578.850564
10,79,17910.603918
10,80,17551.550078
10,81,17485.136471
10,92,17285.245215
10,95,17274.682123
10,98,17247.861105
10,102,17089.742082
10,103,17045.533223
11,56,21994.532476
11,59,21153.559931
11,62,20328.956535
11,64,19332.147342
11,71,19288.783584
11,73,18786.774828
11,74,18103.026810
11,75,18092.941201
11,76,17729.112622
11,79,16687.910196
11,97,16664.524353
12,56,21994.532476
12,59,21153.559931
12,60,20949.395158
12,62,20328.956535
12,64,19332.147342
12,71,19288.783584
12,73,18786.774828
12,74,18103.026810
12,75,18092.941201
12,76,17729.112622
12,79,16687.910196
12,97,16664.524353
12,101,16423.140068
12,104,16409.653853
13,56,21994.532476
13,57,20462.756627
13,62,20328.956535
13,63,20325.342039
13,64,19332.147342
13,71,19288.783584
13,72,19010.181036
13,73,18786.774828
13,74,18103.026810
13,75,18092.941201
13,76,17729.112622
13,77,16978.169739
13,79,16687.910196
13,97,16664.524353
13,101,16423.140068
13,104,16409.653853
14,56,21809.674771
14,57,20462.756627
14,62,20328.956535
14,63,20253.504399
14,64,19332.147342
14,71,19288.783584
14,72,19010.181036
14,73,18786.774828
14,74,17747.416394
14,76,16955.005024
14,79,16687.910196
14,90,16605.035193
14,101,16423.140068
14,102,16299.872890
15,56,21809.674771
15,57,20462.756627
15,59,20158.709344
15,64,19332.147342
15,70,19039.623357
15,72,19010.181036
15,73,18786.774828
15,74,17747.416394
15,76,16955.005024
15,79,16687.910196
15,81,16587.251964
15,83,16575.518659
15,94,16444.472146
15,98,16315.691390
15,102,16299.872890
16,56,21809.674771
16,57,20462.756627
16,58,20093.620095
16,62,19847.748467
16,64,19213.154904
16,70,18656.324581
16,71,17890.474761
16,74,17644.134125
16,76,16673.331227
16,78,16397.639020
16,79,16358.719848
16,83,16247.007802
16,85,16215.863263
16,90,16072.635234
17,55,20365.158210
17,58,20093.620095
17,61,19982.903053
17,62,19847.748467
17,64,19213.154904
17,70,18656.324581
17,71,17890.474761
17,74,17644.134125
17,76,16673.331227
17,78,16397.639020
17,79,16358.719848
17,81,16279.841929
