Generation,NV,TOC
1,7,3276.788582
1,8,2517.565767
1,10,2163.750307
1,14,1887.455074
1,15,1803.754962
1,17,1798.104766
2,7,2068.579608
2,11,1938.077120
2,14,1759.835794
2,16,1733.245602
3,7,1933.454556
3,11,1871.220240
3,12,1818.417938
3,14,1759.835794
3,16,1733.245602
4,7,1933.454556
4,11,1871.220240
4,12,1722.881337
4,15,1722.137009
5,7,1933.454556
5,8,1907.139220
5,11,1871.220240
5,12,1722.881337
5,14,1690.884032
6,7,1933.454556
6,8,1907.139220
6,10,1855.306434
6,11,1760.106132
6,12,1722.881337
6,13,1678.682751
7,7,1933.454556
7,8,1907.139220
7,10,1855.306434
7,11,1760.106132
7,12,1722.881337
7,13,1678.682751
8,7,1933.454556
8,8,1907.139220
8,9,1876.945736
8,10,1855.306434
8,11,1749.699092
8,12,1588.187902
9,7,1933.454556
9,8,1907.139220
9,9,1844.153945
9,10,1769.085709
9,11,1617.935679
9,12,1588.187902
10,6,2283.952572
10,7,1933.454556
10,8,1907.139220
10,9,1844.153945
10,10,1735.219330
10,11,1617.935679
10,12,1588.187902
11,6,2063.239076
11,7,1933.454556
11,8,1907.139220
11,9,1844.153945
11,10,1721.148584
11,11,1617.935679
11,12,1588.187902
12,6,2002.555600
12,7,1897.837935
12,9,1844.153945
12,10,1720.325160
12,11,1617.935679
12,12,1588.187902
12,14,1575.832275
13,6,1996.126397
13,7,1897.837935
13,9,1844.153945
13,10,1720.325160
13,11,1617.935679
13,12,1588.187902
13,14,1575.832275
14,6,1996.126397
14,7,1897.837935
14,8,1796.186855
14,10,1614.686371
14,12,1561.971290
15,6,1910.769711
15,7,1823.281430
15,8,1796.186855
15,9,1598.482509
15,11,1591.651268
15,12,1561.971290
15,13,1560.614666
16,6,1910.769711
16,7,1823.281430
16,8,1796.186855
16,9,1598.482509
16,11,1538.079848
17,6,1910.769711
17,7,1792.768168
17,8,1771.860864
17,9,1598.482509
17,10,1476.404412
18,6,1910.769711
18,7,1709.984254
18,9,1598.482509
18,10,1476.404412
19,6,1910.769711
19,7,1709.984254
19,8,1698.740404
19,9,1504.903698
19,10,1476.404412
20,6,1910.769711
20,7,1709.984254
20,8,1698.740404
20,9,1504.903698
20,10,1476.404412
21,6,1910.769711
21,7,1709.984254
21,8,1570.375444
21,9,1494.020815
21,10,1476.404412
22,6,1899.967978
22,7,1709.984254
22,8,1425.816215
22,10,1421.058617
23,6,1846.840106
23,7,1637.726510
23,8,1425.816215
23,10,1421.058617
24,6,1846.840106
24,7,1637.726510
24,8,1425.816215
24,10,1421.058617
25,6,1837.347052
25,7,1616.591301
25,8,1425.816215
25,10,1410.776667
26,6,1837.347052
26,7,1616.591301
26,8,1425.816215
26,10,1410.776667
27,6,1837.347052
27,7,1513.233361
27,8,1425.816215
27,10,1387.543339
28,6,1760.495201
28,7,1513.233361
28,8,1425.816215
28,10,1387.543339
29,6,1743.401967
29,7,1513.233361
29,8,1425.816215
29,10,1387.543339
30,6,1613.184263
30,7,1489.522990
30,8,1417.540038
30,9,1402.516497
30,10,1387.543339
31,6,1613.184263
31,7,1489.522990
31,8,1392.321261
31,10,1387.543339
32,6,1613.184263
32,7,1489.522990
32,8,1392.321261
32,10,1387.543339
33,6,1613.184263
33,7,1458.789331
33,8,1389.528092
33,9,1363.883405
34,6,1613.184263
34,7,1458.789331
34,8,1389.528092
34,9,1363.883405
35,6,1613.184263
35,7,1458.789331
35,8,1379.425491
35,9,1363.883405
36,6,1613.184263
36,7,1458.789331
36,8,1379.425491
36,9,1363.883405
