Generation,NV,TOC
1,18,5771.672992
1,19,5757.886773
1,20,4991.561329
1,22,4777.468925
1,25,4299.301072
1,30,4143.614447
1,31,4125.024183
1,32,4118.948387
1,34,4009.007659
2,18,5397.931413
2,20,4991.561329
2,22,4601.827922
2,23,4474.001506
2,25,4299.301072
2,29,3846.528930
2,36,3706.954641
3,17,5275.329170
3,18,5016.351727
3,19,4840.204639
3,21,4234.758242
3,24,4084.255100
3,26,4005.611399
3,28,3840.642112
3,32,3592.592596
3,35,3540.538218
4,17,5088.878919
4,18,4974.385065
4,19,4840.204639
4,21,4234.758242
4,24,4084.255100
4,26,3766.332016
4,30,3757.743741
4,32,3514.596401
4,33,3511.456799
5,17,4833.957601
5,18,4395.354366
5,21,4222.181764
5,22,4192.014558
5,24,4084.255100
5,25,4017.768146
5,26,3766.332016
5,28,3579.762055
5,31,3479.454933
6,16,5566.796588
6,17,4833.957601
6,18,4357.942218
6,21,3828.635266
6,26,3603.206631
6,27,3544.155273
6,28,3450.867378
6,31,3446.244240
7,16,4583.485810
7,18,4357.942218
7,19,4177.382099
7,21,3540.226218
7,28,3450.867378
7,31,3446.244240
8,16,4461.989176
8,18,4357.942218
8,19,4082.484361
8,21,3540.226218
8,28,3450.867378
8,30,3407.944518
9,16,4387.733682
9,18,4131.044594
9,19,4048.352919
9,21,3511.988209
9,23,3447.783268
9,28,3371.551848
10,16,4171.134706
10,18,4131.044594
10,19,4048.352919
10,21,3511.988209
10,23,3447.783268
10,25,3408.891788
10,28,3371.551848
11,16,4171.134706
11,17,3959.625163
11,20,3876.183155
11,21,3358.171856
11,24,3332.983100
12,15,4423.308030
12,16,4171.134706
12,17,3826.370898
12,19,3682.626090
12,21,3358.171856
12,24,3311.631198
13,14,4621.346277
13,15,4323.343351
13,16,4171.134706
13,17,3826.370898
13,19,3682.626090
13,20,3558.643492
13,21,3358.171856
13,24,3311.631198
14,14,4621.346277
14,15,4200.823352
14,16,4171.134706
14,17,3826.370898
14,19,3682.626090
14,20,3558.643492
14,21,3358.171856
14,24,3311.631198
14,29,3302.208263
14,30,3285.690930
15,14,4393.392447
15,15,4200.823352
15,16,3802.740571
15,17,3801.772149
15,19,3666.037890
15,20,3547.339645
15,21,3341.810326
15,23,3296.281298
15,28,3291.154392
15,30,3270.183060
16,14,4393.392447
16,15,3848.064874
16,16,3802.740571
16,17,3801.772149
16,18,3689.693990
16,19,3666.037890
16,20,3547.339645
16,21,3341.810326
16,23,3296.281298
16,25,3260.597061
17,14,4393.392447
17,15,3848.064874
17,16,3802.740571
17,17,3782.399394
17,18,3514.257130
17,21,3341.810326
17,23,3296.281298
17,25,3260.597061
18,14,4326.123687
18,15,3786.453191
18,17,3641.718005
18,18,3458.246067
18,21,3328.336804
18,23,3277.974841
18,25,3260.597061
19,13,5147.252607
19,14,4326.123687
19,15,3786.453191
19,17,3632.940688
19,18,3387.602325
19,21,3328.336804
19,23,3277.974841
19,25,3260.597061
20,13,5147.252607
20,14,3760.167664
20,17,3632.940688
20,18,3387.602325
20,20,3371.461250
20,21,3328.336804
20,23,3277.974841
20,25,3260.597061
21,13,5147.252607
21,14,3760.167664
21,15,3600.818923
21,18,3387.602325
21,20,3371.461250
21,21,3328.336804
21,23,3277.974841
21,25,3260.597061
22,13,5065.921055
22,14,3760.167664
22,15,3600.818923
22,17,3596.675705
22,18,3370.921919
22,21,3240.545504
23,13,5065.921055
23,14,3760.167664
23,15,3600.818923
23,17,3596.675705
23,18,3330.255123
23,21,3240.545504
23,26,3214.238894
