Generation,NV,TOC
1,16,3476.917782
1,17,3459.635645
1,18,2971.672472
1,19,2741.344343
2,15,3617.117154
2,16,2881.436565
2,18,2843.243240
2,19,2681.075230
2,21,2655.450460
3,14,3824.558717
3,15,3566.186722
3,16,2805.739344
3,18,2798.093590
3,19,2680.951533
3,21,2655.450460
3,25,2645.038771
4,14,3345.455313
4,15,3031.109468
4,16,2718.134056
4,19,2680.951533
4,20,2507.733845
5,14,3321.492179
5,15,2723.963661
5,16,2576.153922
5,17,2447.961159
6,14,3074.807366
6,15,2723.963661
6,16,2533.279840
6,17,2447.961159
7,13,3393.101384
7,14,2636.971538
7,16,2400.981349
8,13,2807.430796
8,14,2636.971538
8,16,2400.981349
9,13,2807.430796
9,14,2408.448371
9,16,2400.981349
10,13,2799.973663
10,14,2408.448371
10,16,2400.981349
11,12,2933.939300
11,13,2799.973663
11,14,2392.620134
11,16,2376.011883
12,11,3287.053892
12,12,2772.028246
12,13,2668.971044
12,14,2389.691476
12,16,2376.011883
13,10,3275.561230
13,11,3142.300513
13,12,2772.028246
13,13,2668.971044
13,14,2389.691476
13,16,2376.011883
14,10,3275.561230
14,11,3142.300513
14,12,2772.028246
14,13,2668.971044
14,14,2373.519297
15,10,3275.561230
15,11,3142.300513
15,12,2772.028246
15,13,2414.698260
15,14,2373.519297
15,16,2311.870141
16,10,2790.939762
16,12,2772.028246
16,13,2414.698260
16,14,2373.519297
16,16,2311.870141
17,10,2700.997898
17,13,2407.183590
17,14,2373.519297
17,16,2304.702485
18,10,2632.111915
18,13,2345.416813
18,16,2304.702485
19,9,2722.273836
19,10,2540.773345
19,11,2536.491137
19,12,2377.477085
19,13,2281.341767
20,9,2722.273836
20,10,2540.773345
20,11,2536.491137
20,12,2377.477085
20,13,2273.824849
21,9,2722.273836
21,10,2540.773345
21,11,2457.314510
21,12,2314.097020
21,13,2273.824849
22,9,2722.273836
22,10,2540.773345
22,11,2438.036883
22,12,2314.097020
22,13,2273.824849
23,9,2722.273836
23,10,2540.773345
23,11,2438.036883
23,12,2314.097020
23,13,2273.824849
24,9,2722.273836
24,10,2540.773345
24,11,2438.036883
24,12,2294.380075
24,13,2273.824849
24,14,2268.759097
25,9,2722.273836
25,10,2532.915563
25,11,2438.036883
25,12,2294.380075
25,13,2269.935316
25,14,2268.759097
25,16,2222.586350
26,9,2722.273836
26,10,2415.875148
26,11,2384.870054
26,12,2293.840874
26,13,2269.935316
26,14,2268.759097
26,16,2204.217970
27,9,2697.262201
27,10,2415.875148
27,11,2287.187161
27,12,2253.582754
27,16,2204.217970
28,9,2524.224724
28,10,2341.719139
28,11,2262.870211
28,12,2253.582754
28,16,2204.217970
29,9,2524.224724
29,10,2341.719139
29,11,2262.870211
29,12,2253.582754
29,16,2204.217970
30,8,3002.325266
30,9,2524.224724
30,10,2341.719139
30,11,2262.870211
30,12,2253.582754
30,15,2238.842532
30,16,2204.217970
30,17,2200.750271
31,8,3002.325266
31,9,2524.224724
31,10,2266.152676
31,11,2262.870211
31,12,2253.080259
31,13,2246.188132
31,14,2228.128115
31,15,2174.440190
31,16,2161.734381
32,8,2709.043133
32,9,2524.224724
32,10,2266.152676
32,11,2262.870211
32,12,2253.080259
32,13,2220.608849
32,15,2174.440190
32,16,2161.734381
33,8,2709.043133
33,9,2450.955800
33,10,2266.152676
33,11,2262.870211
33,12,2253.080259
33,13,2220.608849
33,15,2174.440190
33,16,2161.734381
34,8,2709.043133
34,9,2444.258435
34,10,2225.352457
34,13,2220.608849
34,15,2174.440190
34,16,2161.734381
35,8,2709.043133
35,9,2388.864954
35,10,2224.955886
35,11,2200.467498
35,15,2174.440190
35,16,2161.734381
36,8,2709.043133
36,9,2349.285091
36,10,2224.955886
36,11,2200.467498
36,12,2191.031642
36,15,2173.158373
36,16,2161.734381
37,8,2552.680883
37,9,2349.285091
37,10,2224.955886
37,11,2200.467498
37,12,2173.619919
37,15,2165.427543
37,16,2161.734381
38,8,2552.680883
38,9,2349.285091
38,10,2224.955886
38,11,2196.195656
38,12,2160.417786
39,8,2552.680883
39,9,2349.285091
39,10,2209.732236
39,11,2190.388145
39,12,2160.417786
39,14,2152.670354
40,8,2552.680883
40,9,2335.431162
40,10,2207.186981
40,11,2190.388145
