Generation,NV,TOC
1,48,23984.890622
1,51,23940.343986
1,52,23221.669209
1,60,22390.762657
1,61,22118.251991
1,66,21720.159883
1,76,20610.849240
1,93,19703.383415
1,95,19251.609464
1,110,19198.359962
1,123,18851.149783
1,128,18827.247007
1,131,17163.814255
2,48,23984.890622
2,51,23940.343986
2,52,23221.669209
2,56,23019.560645
2,59,22507.842929
2,60,22173.260879
2,61,22118.251991
2,64,21527.882528
2,75,20443.937276
2,77,19796.922922
2,92,19618.139708
2,94,19155.890189
2,95,19060.092320
2,116,18442.477553
2,123,17088.049521
2,128,17016.660761
2,131,16897.340289
3,47,24027.925988
3,48,23659.649019
3,49,23417.024469
3,52,22952.480599
3,53,22801.156320
3,58,22501.087149
3,59,22067.138005
3,64,21527.882528
3,69,21376.475804
3,75,20443.937276
3,77,19796.922922
3,92,19618.139708
3,94,19155.890189
3,95,19060.092320
3,100,18979.012107
3,105,18955.134837
3,106,18846.589561
3,112,18725.924823
3,116,18442.477553
3,123,17088.049521
3,128,17016.660761
3,131,16897.340289
4,45,25364.327512
4,47,23416.871996
4,52,22952.480599
4,53,22801.156320
4,54,22356.858870
4,58,22240.450047
4,59,22067.138005
4,62,21935.998022
4,64,21527.882528
4,69,21376.475804
4,70,21296.980902
4,75,20443.937276
4,77,19796.922922
4,89,19268.787466
4,92,18991.534646
4,93,18908.944823
4,99,18599.388439
4,102,18315.180214
4,120,16944.479327
4,127,16926.413712
4,131,16827.694938
5,44,24142.249988
5,47,23416.871996
5,52,22596.548971
5,53,21894.164518
5,62,21629.166254
5,63,21475.056942
5,65,21256.386499
5,71,20959.132972
5,73,20819.460006
5,75,20443.937276
5,76,20273.656127
5,77,19796.922922
5,83,19769.298903
5,86,19607.545770
5,87,19305.100772
5,89,19268.787466
5,92,18991.534646
5,93,18908.944823
5,99,18599.388439
5,102,18315.180214
5,103,18249.207553
5,110,17937.031982
5,117,17754.152863
5,120,16944.479327
5,127,16926.413712
5,131,16827.694938
6,44,24142.249988
6,45,24138.107264
6,47,23416.871996
6,51,22709.136932
6,52,22596.548971
6,53,21894.164518
6,54,21722.028677
6,59,21282.619705
6,60,21109.702097
6,71,20959.132972
6,73,20819.460006
6,75,20443.937276
6,76,20273.656127
6,77,19796.922922
6,83,19769.298903
6,84,19659.513220
6,86,19607.545770
6,87,19305.100772
6,89,19193.459243
6,90,18708.347568
6,95,18028.440390
6,108,17834.200108
6,115,17673.954668
6,119,16836.206294
6,125,16692.284969
6,129,16528.714204
7,44,24115.410409
7,45,23842.752642
7,46,23310.156919
7,48,22716.334090
7,51,22709.136932
7,52,22596.548971
7,53,21864.060757
7,54,21722.028677
7,57,21015.556271
7,69,19117.800349
7,88,18772.991142
7,90,18708.347568
7,95,18028.440390
7,108,17834.200108
7,114,17824.664246
7,115,17673.954668
7,119,16836.206294
7,125,16692.284969
7,129,16528.714204
7,132,16373.680276
8,44,24115.410409
8,45,23842.752642
8,46,23310.156919
8,48,22716.334090
8,51,22653.871254
8,52,22032.764497
8,53,21864.060757
8,54,21549.751874
8,57,21015.556271
8,61,20739.461669
8,62,20432.284658
8,64,20167.183511
8,69,19117.800349
8,75,19006.720464
8,85,18754.600282
8,87,18728.137172
8,88,18375.734095
8,95,18028.440390
8,100,17606.784351
8,119,16836.206294
8,125,16692.284969
8,129,16479.185281
8,132,16373.680276
8,135,16372.471493
8,141,16333.740160
9,44,24115.410409
9,45,23842.752642
9,46,23310.156919
9,48,22716.334090
9,49,22530.989723
9,51,22109.946159
9,52,21208.922360
9,55,20865.631061
9,58,20250.925703
9,64,20167.183511
9,67,19146.822731
9,69,19117.800349
9,74,19057.952574
9,75,19006.720464
9,77,18868.757609
9,85,18754.600282
9,86,18518.988692
9,88,18375.734095
9,95,18028.440390
9,100,17606.784351
9,113,16887.266716
9,119,16836.206294
9,125,16452.876380
9,132,16373.680276
9,135,16372.471493
9,141,16333.740160
10,44,24115.410409
10,45,23842.752642
10,46,23180.113501
10,47,22451.493130
10,51,21900.695241
10,52,21208.922360
10,55,20865.631061
10,58,20250.925703
10,64,20167.183511
10,66,19238.897108
10,67,19146.822731
10,69,19117.800349
10,72,18527.181876
10,74,18366.651952
10,85,18109.679594
10,95,18028.440390
10,99,17769.303399
10,100,17606.784351
