Generation,NV,TOC
1,17,8633.214139
1,18,7730.511852
1,19,7562.107591
1,20,6971.684398
1,24,6839.126741
1,25,6560.170154
1,26,6532.552582
1,27,6255.885555
1,29,6097.902985
1,32,6045.163723
1,33,5741.748775
1,34,5665.247440
1,36,5538.622932
1,38,5509.284691
1,39,5475.309585
1,41,5456.588602
1,43,5331.273449
1,46,5266.641572
1,51,5110.389213
2,17,8633.214139
2,18,7730.511852
2,19,7562.107591
2,20,6971.684398
2,24,6839.126741
2,25,6560.170154
2,26,6427.790664
2,27,6255.885555
2,29,6097.902985
2,31,5971.121886
2,32,5933.670217
2,33,5741.748775
2,34,5665.247440
2,35,5571.906301
2,36,5400.146788
2,38,5337.588310
2,41,5140.172544
2,51,5110.389213
3,17,8633.214139
3,18,7730.511852
3,19,7562.107591
3,20,6971.684398
3,22,6310.327818
3,27,6230.012849
3,28,5641.066725
3,32,5513.254554
3,35,5485.666558
3,36,5400.146788
3,37,5396.986041
3,38,5337.588310
3,39,5293.796090
3,41,5140.172544
3,42,5009.476359
4,17,8493.869454
4,18,7730.511852
4,19,7562.107591
4,20,6971.684398
4,21,6561.486799
4,22,6310.327818
4,27,6230.012849
4,28,5494.182242
4,29,5422.256586
4,31,5326.053813
4,35,5266.343349
4,36,5234.963545
4,37,5213.023104
4,38,5200.093970
4,39,5085.547438
4,40,4955.677287
5,17,8053.873889
5,18,7730.511852
5,19,6719.715284
5,21,6561.486799
5,22,5935.572442
5,28,5494.182242
5,29,5422.256586
5,30,5269.433045
5,35,5266.343349
5,36,5234.963545
5,37,5213.023104
5,38,5155.873936
5,39,5085.547438
5,40,4955.677287
6,17,8053.873889
6,18,7515.734021
6,19,6719.715284
6,21,6561.486799
6,22,5675.817499
6,26,5415.530128
6,29,5348.713124
6,30,5130.828087
6,36,4882.814351
7,17,8053.873889
7,18,6981.077148
7,19,6697.418266
7,21,6561.486799
7,22,5675.817499
7,26,5415.530128
7,29,5348.713124
7,30,5130.828087
7,32,4983.018155
7,36,4882.814351
7,42,4864.357209
8,17,7840.669666
8,18,6981.077148
8,19,6697.418266
8,21,6561.486799
8,22,5675.817499
8,25,5488.133993
8,26,5415.530128
8,29,5348.713124
8,30,5130.828087
8,32,4983.018155
8,36,4882.814351
8,42,4864.357209
9,17,7840.669666
9,18,6981.077148
9,19,6697.418266
9,20,5953.104382
9,22,5675.817499
9,25,5488.133993
9,26,5415.530128
9,28,5359.625621
9,29,5348.713124
9,30,5130.828087
9,32,4983.018155
9,35,4912.404186
9,36,4882.814351
9,42,4864.357209
10,17,7840.669666
10,18,6981.077148
10,19,6685.434282
10,20,5953.104382
10,22,5675.817499
10,25,5405.599066
10,28,5359.625621
10,29,5240.275600
10,30,5130.828087
10,32,4983.018155
10,35,4912.404186
10,36,4882.814351
10,37,4882.748905
10,42,4864.357209
10,43,4832.749247
11,16,7467.957425
11,17,7321.619910
11,18,6981.077148
11,19,6685.434282
11,20,5953.104382
11,21,5949.744431
11,22,5675.817499
11,24,5411.194542
11,25,5340.047857
11,28,5221.436221
11,30,5080.530379
11,32,4972.350815
11,33,4869.906616
11,34,4809.906828
12,16,7467.957425
12,17,7321.619910
12,18,6981.077148
12,19,6262.800232
12,20,5953.104382
12,21,5949.744431
12,22,5675.817499
12,24,5411.194542
12,25,5340.047857
12,28,5151.225258
12,30,5080.530379
12,32,4972.350815
12,33,4869.906616
12,34,4809.906828
13,16,7467.957425
13,17,7321.619910
13,18,6898.484901
13,19,6262.800232
13,20,5787.614733
13,22,5585.280155
13,24,5378.629291
13,25,5295.933692
13,28,5151.225258
