Generation,NV,TOC
1,20,7003.280635
1,21,5981.164792
1,24,5742.734262
1,25,5671.714588
1,27,5398.873308
1,28,5160.837756
1,32,5050.511170
1,44,5044.616118
1,49,4972.177020
2,20,7003.280635
2,21,5981.164792
2,24,5742.734262
2,25,5650.264841
2,27,5398.873308
2,28,5160.837756
2,32,5013.088753
2,37,4896.751626
2,39,4889.727900
2,41,4740.113652
3,19,6726.326389
3,20,5941.245173
3,23,5590.956963
3,27,4990.928899
3,33,4816.013106
3,39,4698.426811
3,45,4590.879564
4,19,6597.010690
4,20,5941.245173
4,23,5590.956963
4,24,5493.173508
4,26,5284.177118
4,27,4990.928899
4,33,4816.013106
4,39,4698.426811
4,45,4590.879564
5,17,7364.556566
5,18,7087.005290
5,19,6597.010690
5,20,5941.245173
5,22,5295.246232
5,24,4816.470145
5,33,4816.013106
5,35,4772.356678
5,39,4698.426811
5,45,4590.879564
6,17,7364.556566
6,18,6353.258379
6,20,5438.828580
6,22,5242.725605
6,24,4733.993942
6,26,4664.166285
6,27,4644.951671
6,43,4557.795286
7,17,6545.164145
7,18,6353.258379
7,19,5888.826783
7,20,5438.828580
7,22,5242.725605
7,24,4733.993942
7,26,4664.166285
7,27,4644.951671
7,35,4594.735904
7,43,4557.795286
8,17,6545.164145
8,18,6353.258379
8,19,5888.826783
8,20,5438.828580
8,22,5242.725605
8,23,5155.753703
8,24,4705.889357
8,26,4664.166285
8,27,4644.951671
8,35,4594.735904
8,43,4557.795286
9,16,6289.468251
9,18,5842.186150
9,20,5388.336918
9,21,5226.116523
9,23,4675.141293
9,25,4645.541265
9,26,4638.600770
9,29,4535.306588
10,16,6289.468251
10,18,5842.186150
10,20,5388.336918
10,21,5226.116523
10,23,4675.141293
10,25,4645.541265
10,26,4638.600770
10,29,4535.306588
11,16,6289.468251
11,18,5842.186150
11,20,5388.336918
11,21,5214.828946
11,22,4792.148748
11,23,4675.141293
11,24,4589.203216
11,29,4535.306588
12,16,6254.952967
12,18,5764.110494
12,19,5157.809347
12,21,5087.721674
12,22,4715.696999
12,23,4627.536801
12,24,4575.179309
12,27,4527.839735
12,31,4473.863322
13,16,6254.952967
13,18,5764.110494
13,19,5157.809347
13,21,5087.721674
13,22,4715.696999
13,23,4627.536801
13,24,4575.179309
13,25,4546.853350
13,26,4448.975687
14,16,6254.952967
14,18,5764.110494
14,19,5157.809347
14,21,5087.721674
14,22,4715.696999
14,23,4420.337220
15,16,6189.135742
15,18,5682.953452
15,19,5157.809347
15,20,4645.982109
15,22,4388.061907
15,26,4354.899451
16,16,6189.135742
16,17,6147.289234
16,18,5670.208165
16,19,5157.809347
16,20,4645.982109
16,22,4388.061907
16,26,4354.899451
17,16,6189.135742
17,17,6147.289234
17,18,5670.208165
17,19,5157.809347
17,20,4645.982109
17,21,4635.435009
17,22,4379.008154
17,26,4354.899451
18,16,5997.344899
18,17,5895.477347
18,18,5546.611095
18,19,5157.809347
18,20,4645.982109
18,21,4567.420912
18,22,4368.405740
18,26,4344.845007
19,16,5997.344899
19,17,5895.477347
19,18,5427.696760
19,19,5157.809347
19,20,4645.982109
19,21,4531.059528
19,22,4368.405740
19,26,4344.845007
20,16,5997.344899
20,17,5887.965702
20,18,5427.696760
20,19,5157.809347
20,20,4597.590696
20,21,4531.059528
20,22,4366.891229
20,26,4344.845007
20,29,4319.339237
21,16,5966.669611
21,17,5803.809962
21,18,5407.980340
21,19,4924.541070
21,20,4471.373346
21,22,4366.891229
21,23,4321.518095
21,27,4300.579901
22,15,6935.594784
22,16,5966.669611
22,17,5603.972897
22,18,5407.980340
22,19,4924.541070
22,20,4471.373346
22,22,4366.891229
22,23,4321.518095
22,27,4300.579901
23,15,6935.594784
23,16,5966.669611
23,17,5603.972897
23,18,5407.980340
23,19,4924.541070
23,20,4471.373346
23,21,4425.887674
23,22,4366.891229
23,23,4321.518095
23,27,4300.579901
24,15,6935.594784
24,16,5966.669611
24,17,5437.987563
24,18,5362.169581
24,19,4924.541070
24,20,4456.791146
24,21,4410.909081
24,22,4366.891229
24,23,4311.396676
24,24,4305.100196
24,27,4281.569131
25,15,6935.594784
25,16,5966.669611
25,17,5437.987563
25,18,5362.169581
25,19,4924.541070
25,20,4456.791146
25,21,4410.909081
25,22,4366.891229
25,23,4311.396676
25,24,4305.100196
25,27,4281.569131
26,15,6935.594784
26,16,5966.669611
26,17,5437.987563
26,18,5362.169581
26,19,4924.541070
26,20,4456.791146
26,21,4410.909081
26,22,4366.891229
26,23,4294.777012
26,27,4281.569131
27,15,6723.201918
27,16,5966.669611
27,17,5428.912326
27,18,5135.337548
27,19,4772.053589
27,20,4456.257910
27,21,4409.840345
27,22,4360.917540
27,23,4292.325230
27,27,4281.569131
28,15,6723.201918
28,16,5966.669611
28,17,5428.912326
28,18,5135.337548
28,19,4772.053589
28,20,4456.257910
28,21,4409.840345
28,22,4360.917540
28,23,4292.325230
28,27,4281.569131
29,15,6723.201918
29,16,5922.404374
29,17,5428.912326
29,18,5135.337548
29,19,4772.053589
29,20,4376.523795
29,22,4360.917540
29,23,4292.325230
29,25,4263.615665
30,15,6723.201918
30,16,5922.404374
30,17,5421.204664
30,18,4966.999845
30,19,4772.053589
30,20,4317.314347
30,23,4263.887039
30,25,4248.457819
31,15,6723.201918
31,16,5823.526068
31,17,5137.078580
31,18,4966.999845
31,19,4772.053589
31,20,4317.314347
31,23,4263.887039
31,25,4248.457819
32,15,6723.201918
32,16,5739.572987
32,17,5137.078580
32,18,4966.999845
32,19,4772.053589
32,20,4317.314347
32,23,4263.887039
32,25,4248.457819
33,15,6462.325102
33,16,5690.269653
33,17,5137.078580
33,18,4755.808761
33,20,4303.666663
33,23,4236.766732
33,25,4235.426331
34,15,6462.325102
34,16,5679.909397
34,17,5137.078580
34,18,4755.808761
34,20,4270.429585
34,23,4236.766732
34,25,4232.210356
35,15,6462.325102
35,16,5679.909397
35,17,5137.078580
35,18,4755.808761
35,20,4270.429585
35,23,4236.766732
35,25,4232.210356
36,15,6390.637169
36,16,5484.016243
36,17,5003.713175
36,18,4634.891700
36,20,4248.104213
36,23,4235.957378
36,25,4228.433969
37,15,6390.637169
37,16,5484.016243
37,17,5003.713175
37,18,4634.891700
37,20,4248.104213
37,23,4235.957378
37,25,4228.433969
38,15,6390.637169
38,16,5484.016243
38,17,5003.713175
38,18,4634.891700
38,20,4248.104213
38,21,4233.282082
38,25,4228.433969
39,15,6110.709766
39,16,5454.057891
39,17,4974.939254
39,18,4622.565979
39,19,4586.673905
39,20,4246.131897
39,21,4233.282082
39,24,4214.755367
40,15,6110.709766
40,16,5443.130007
40,17,4974.939254
40,18,4622.565979
40,19,4586.673905
40,20,4246.131897
40,21,4233.282082
40,24,4214.755367
41,15,6073.025183
41,16,5419.118382
41,17,4974.939254
41,18,4622.565979
41,19,4586.673905
41,20,4246.131897
41,21,4233.282082
41,24,4214.755367
42,15,6003.298777
42,16,5419.118382
42,17,4956.523372
42,18,4609.814585
42,19,4545.102021
42,20,4206.824572
42,24,4190.890907
43,15,6003.298777
43,16,5419.118382
43,17,4956.523372
43,18,4609.814585
43,19,4545.102021
43,20,4206.824572
43,24,4190.890907
44,15,6003.298777
44,16,5419.118382
44,17,4561.679502
44,19,4545.102021
44,20,4206.824572
44,24,4190.890907
45,15,5950.333973
45,16,5396.674002
45,17,4559.989489
45,18,4496.742748
45,20,4202.086102
45,24,4188.295756
46,15,5950.333973
46,16,5396.674002
46,17,4559.989489
46,18,4496.742748
46,20,4202.086102
46,23,4189.095807
46,24,4188.295756
47,15,5950.333973
47,16,5396.674002
47,17,4559.989489
47,18,4455.453526
47,19,4438.921414
47,20,4202.086102
47,23,4189.095807
47,24,4188.295756
48,15,5909.337979
48,16,5382.506435
48,17,4559.989489
48,18,4429.790323
48,19,4247.431012
48,20,4202.086102
48,21,4183.608508
49,15,5909.337979
49,16,5382.506435
49,17,4559.989489
49,18,4429.790323
49,19,4247.431012
49,20,4202.086102
49,21,4183.608508
50,15,5909.337979
50,16,5382.506435
50,17,4559.989489
50,18,4429.790323
50,19,4247.431012
50,20,4202.086102
50,21,4183.608508
51,15,5754.217836
51,16,5349.513210
51,17,4524.472351
51,18,4429.790323
51,19,4232.070574
51,20,4189.189203
51,21,4183.608508
52,15,5754.217836
52,16,5349.513210
52,17,4524.472351
52,18,4401.211814
52,19,4232.070574
52,20,4189.189203
52,21,4183.608508
53,15,5606.999190
53,16,5349.513210
53,17,4524.472351
53,18,4391.811476
53,19,4232.070574
53,20,4189.189203
53,21,4183.608508
54,15,5579.815864
54,16,5284.785847
54,17,4386.444714
54,19,4229.874347
54,20,4189.189203
54,21,4183.608508
54,24,4170.726130
55,15,5579.815864
55,16,5284.785847
55,17,4379.935660
55,18,4369.341826
55,19,4229.874347
55,20,4189.189203
55,21,4183.608508
55,24,4170.726130
56,15,5579.815864
56,16,5284.785847
56,17,4379.935660
56,18,4369.341826
56,19,4229.874347
56,20,4161.291552
57,15,5505.261565
57,16,5099.666924
57,17,4342.918916
57,19,4213.777862
57,20,4129.511981
58,15,5449.388526
58,16,5099.666924
58,17,4342.918916
58,19,4213.777862
58,20,4129.511981
59,15,5408.336763
59,16,5099.666924
59,17,4342.918916
59,19,4213.777862
59,20,4129.511981
60,15,5270.941707
60,16,5044.341144
60,17,4342.475894
