Generation,NV,TOC
1,21,10147.032393
1,33,9460.186902
1,44,9294.553972
1,46,9117.352613
1,47,7325.884001
1,48,7210.698854
1,56,7003.974352
1,62,6811.231886
1,65,6595.136921
1,69,6461.402121
1,70,6414.462671
1,76,6399.383146
1,78,6388.799953
1,82,6355.235741
1,96,6305.777374
1,101,6290.321549
1,103,6189.644001
2,21,10147.032393
2,30,10067.158653
2,31,9579.045134
2,33,9460.186902
2,37,9260.227562
2,40,9098.363438
2,42,8541.664909
2,46,7607.943854
2,47,7325.884001
2,48,7210.698854
2,56,7003.974352
2,60,6463.606945
2,67,6351.280866
2,71,6256.951345
2,94,6146.549830
2,98,6121.188843
3,18,10669.653383
3,21,9944.889134
3,26,8930.003848
3,35,8369.549916
3,42,7995.986278
3,45,7193.509135
3,49,7052.576770
3,56,7003.974352
3,58,6747.995556
3,60,6463.606945
3,63,6411.217643
3,67,6351.280866
3,68,6287.846597
3,69,6050.255070
4,18,10291.265279
4,21,9944.889134
4,22,9796.571272
4,26,8930.003848
4,29,8643.335555
4,33,7625.539076
4,45,7193.509135
4,48,7177.674361
4,49,7052.576770
4,56,6907.629161
4,58,6747.995556
4,60,6463.606945
4,63,6411.217643
4,64,6241.941668
4,69,6050.255070
5,18,10291.265279
5,21,9944.889134
5,22,9796.571272
5,23,9091.217842
5,26,8930.003848
5,29,8643.335555
5,30,8460.210909
5,33,7625.539076
5,45,7193.509135
5,46,7143.737293
5,48,7060.724495
5,49,7052.576770
5,54,6953.588160
5,56,6838.326540
5,57,6351.818599
5,63,6098.091540
5,69,6018.506969
5,75,5765.430960
