Generation,NV,TOC
1,19,10501.113879
1,20,10496.268057
1,21,9652.817371
1,28,9482.894855
1,30,8918.084511
1,43,7836.767988
1,48,7825.815340
1,52,7562.803415
1,55,7477.535519
1,57,7359.599451
1,67,7201.793199
1,68,6986.932483
1,69,6924.213415
1,71,6736.309024
1,74,6632.921150
1,80,6534.928154
1,83,6330.738340
1,88,6254.516119
1,106,6224.123702
2,19,10501.113879
2,20,10300.866863
2,21,9652.817371
2,28,9283.406657
2,30,8918.084511
2,40,8617.743439
2,43,7836.767988
2,48,7825.815340
2,49,7741.611212
2,52,7562.803415
2,55,7477.535519
2,57,7359.599451
2,60,7340.560043
2,61,7218.401753
2,63,7078.791321
2,66,6588.398599
2,67,6564.925707
2,80,6534.928154
2,83,6330.738340
2,88,6202.959913
2,89,6193.744114
2,97,6142.165684
3,18,11144.208466
3,19,10501.113879
3,20,10300.866863
3,21,9652.817371
3,26,9358.929028
3,28,9283.406657
3,30,8918.084511
3,33,8530.859097
3,35,8278.309946
3,37,7665.281153
3,47,7045.382202
3,66,6324.769652
3,79,6243.904430
3,80,6180.130003
3,97,6142.165684
4,18,11064.995460
4,19,10501.113879
4,20,9199.990995
4,22,9186.005115
4,27,9001.720727
4,30,8918.084511
4,33,8518.179174
4,34,8232.857126
4,36,7995.843307
4,37,7665.281153
4,46,7399.363927
4,47,7045.382202
4,54,6955.237363
4,57,6859.595865
4,65,6635.937555
4,66,6324.769652
4,72,6202.262875
4,79,6005.851301
5,18,10233.256836
5,20,9199.990995
5,22,9186.005115
5,24,9014.210745
5,27,9001.720727
5,30,8903.556802
5,31,8366.457353
5,34,8232.857126
5,36,7995.843307
5,37,7665.281153
5,38,7584.161714
5,43,7474.810116
5,46,7399.363927
5,47,7045.382202
5,52,7036.580363
5,54,6955.237363
5,57,6859.595865
5,62,6768.699858
5,64,6679.822560
5,65,6635.937555
5,66,6324.769652
5,72,6202.262875
5,79,6005.851301
5,80,5923.565616
